2020-08-31 10:28:09.043 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.322 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.326 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.329 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.330 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.331 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.333 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.336 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.340 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.342 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.344 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.345 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.348 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.349 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.350 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.352 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.353 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.355 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.356 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.359 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.360 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.361 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.363 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.365 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.367 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.369 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.371 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.372 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.373 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.375 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.377 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.378 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.385 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.387 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.389 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.391 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.392 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.395 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.396 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.400 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.402 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.403 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.405 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.407 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.408 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.410 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.412 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.414 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.415 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.417 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.418 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.420 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.421 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.422 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.425 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.426 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.428 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.429 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.431 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.433 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.435 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.437 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.438 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.439 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.441 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.443 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.445 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.447 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.448 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.450 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.451 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.453 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.454 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.456 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.458 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.459 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.461 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.463 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.464 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.465 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.467 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.468 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.469 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.472 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.473 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.475 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.477 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.478 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.479 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.482 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.483 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.484 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.486 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.487 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.488 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.491 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.492 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.493 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.495 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.496 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.498 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.500 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.502 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.503 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.505 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.506 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.507 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.510 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.511 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.515 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.516 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.518 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.519 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.521 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.522 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.524 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.525 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.526 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.529 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.531 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.532 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.534 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.535 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.538 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.539 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.541 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.542 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.543 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.545 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.546 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.548 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.550 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.551 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.553 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.554 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.555 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.559 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.560 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.574 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.576 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.577 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.581 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.582 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.584 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.586 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.587 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.588 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.590 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.591 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.592 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.593 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.596 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.597 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.598 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.599 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.600 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.601 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.602 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.603 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.605 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.606 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.607 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.609 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.610 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.611 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.613 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.616 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.617 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.619 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.620 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.622 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.623 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.625 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.626 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.628 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.629 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.631 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.632 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.634 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.636 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.637 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.639 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.640 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.642 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.644 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.645 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.646 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.648 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.650 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.651 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.653 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.655 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.656 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.658 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.660 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.663 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.665 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.666 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.668 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.669 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.670 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.673 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.674 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.675 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.677 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.678 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.680 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.684 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.686 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.688 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.689 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.691 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.693 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.695 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.698 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.699 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.701 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.704 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.705 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.707 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.708 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.710 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.713 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.715 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.716 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.717 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.718 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.719 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.721 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.724 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.726 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.727 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.728 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.731 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.732 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.733 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.734 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.735 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.736 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.737 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.740 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.741 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.743 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.744 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.745 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.747 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.748 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.750 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.751 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.752 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.753 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.754 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.755 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.756 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.757 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.759 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.762 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.764 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.764 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.765 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.766 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.767 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.769 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.770 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.770 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.771 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.772 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.773 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.774 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.775 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.775 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.776 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.777 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.779 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.780 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.781 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.781 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.782 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.783 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.784 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.784 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.786 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.787 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.789 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.790 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.791 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.792 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.793 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.794 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.795 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.800 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.802 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.803 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.807 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.809 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.810 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.816 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.818 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.820 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.822 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.824 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.826 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.829 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.835 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.837 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.838 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.840 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.841 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.843 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.846 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.848 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.849 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.851 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.853 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.855 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.856 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.857 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.859 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.860 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.862 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.863 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.866 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.867 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.869 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.870 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.871 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.872 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.874 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.876 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.877 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.879 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.880 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.881 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.884 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.885 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.887 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.888 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.890 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.891 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.893 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.895 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.896 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.897 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.898 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.900 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.903 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.904 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.905 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.906 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.908 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.909 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.910 -07:00 [FTL] Hello, world!
2020-08-31 10:28:09.915 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.917 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.918 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.919 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.920 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.921 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.922 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.925 -07:00 [ERR] Hello, world!
2020-08-31 10:28:09.926 -07:00 [INF] Hello, world!
2020-08-31 10:28:09.927 -07:00 [WRN] Hello, world!
2020-08-31 10:28:09.928 -07:00 [INF] Hello, world!
